Tran_Id	Cust_Id	Acct_Nbr	Channel_Nbr	Merchant_SIC	Session_Id	Tran_Duration	Tran_Date	Tran_Time	Tran_Amt	Principal_Amt	Interest_Amt	New_Balance	Merchant_Name	Merchant_City	Merchant_State	Merchant_Postal_Code	Tran_Code	Channel
17	1362492	4561143213624924	0	100	2488	36	10/17/1995	195522	181.76	181.76	0.00	1784.25	The Big Squid       	New York City       	NY	10171	CG	E
61	1362938	4561143213629384	0	?	96492	0	12/6/1995	?	1647.86	1646.70	1.16	33.25	?	?	?	?	PM	M
17	1362499	4561143213624994	1	?	3014	60	5/3/1995	170129	192.44	168.05	24.39	1731.95	?	?	?	?	PM	C
61	1362939	4561143213629394	0	800	96677	34	10/28/1995	110453	395.46	395.46	0.00	4999.62	Flea Trap Motel     	New York City       	NY	10145	CG	E
17	1362506	4561143213625064	0	100	3559	15	10/28/1995	180537	853.43	853.43	0.00	1760.61	Carol's Café        	San Francisco       	CA	94113	CG	E
61	1362962	4561143213629624	0	400	100863	19	11/10/1995	225347	155.15	155.15	0.00	292.29	Ollie's Oil Co.     	Riverside           	CA	92518	CG	E
17	1362508	4561143213625084	0	1000	3848	24	2/28/1995	003908	10.82	10.82	0.00	1204.92	Lala Land           	St Louis            	MO	63140	CG	E
61	1362967	4561143213629664	0	100	101949	19	10/22/1995	073038	82.85	82.85	0.00	945.19	Fifi's Cabaret      	Houston             	TX	77231	CG	E
17	1362510	4561143213625094	0	900	4595	30	1/23/1995	095245	126.12	126.12	0.00	2233.15	Mainframe Mania     	Indianapolis        	IN	46266	CG	E
61	1362978	4561143213629784	1	?	104500	24	8/17/1995	191716	0.00	0.00	0.00	666.82	?	?	?	?	IQ	V
17	1362511	4561143213625114	0	1300	5731	28	7/8/1995	025220	53.25	53.25	0.00	53.25	Arnie's Auto Parts  	New York City       	NY	10272	CG	E
61	1362990	4561143213629904	0	500	109168	31	10/31/1995	101609	28.73	28.73	0.00	956.34	Prop-Jet Airways    	Houston             	TX	77085	CG	E
17	1362512	4561143213625124	0	?	6165	0	9/1/1995	?	70.77	59.97	10.80	872.79	?	?	?	?	PM	M
61	1362991	4561143213629914	0	100	109517	30	12/14/1995	160454	232.36	232.36	0.00	1056.93	Fifi's Cabaret      	Dallas              	TX	75381	CG	E
17	1362516	4561143213625164	0	100	6438	20	6/18/1995	205446	170.88	170.88	0.00	387.05	Haveacow Steakhouse 	Tulsa               	OK	74136	CG	E
61	1362999	4561143213629994	0	1000	112216	15	9/21/1995	134801	247.40	247.40	0.00	1355.98	Lala Land           	Los Angeles         	CA	90148	CG	E
17	1362520	4561143213625204	0	900	6670	21	4/1/1995	094853	530.54	530.54	0.00	2900.00	Network Works       	Los Angeles         	CA	90161	CG	E
61	1363013	4561143213630134	0	900	115242	35	7/11/1995	191958	81.01	81.01	0.00	1000.00	PCs-R-Us            	New York City       	NY	10194	CG	E
17	1362529	4561143213625294	0	?	8886	0	6/7/1995	?	222.68	195.90	26.78	2004.10	?	?	?	?	PM	M
61	1363017	4561143213630174	0	300	116249	26	12/13/1995	103400	72.50	72.50	0.00	758.22	Loan-a-Lemon        	Los Angeles         	CA	90096	CG	E
17	1362530	4561143213625304	0	900	9313	22	4/8/1995	155908	432.14	432.14	0.00	777.65	Surplus Servers     	New York City       	NY	10245	CG	E
61	1363043	4561143213630434	0	1000	121713	30	11/9/1995	183432	48.82	48.82	0.00	762.52	Wally World         	Washington          	DC	20199	CG	E
17	1362531	4561143213625314	0	700	9903	21	6/12/1995	133540	42.97	42.97	0.00	2048.39	Ferd's Food Store   	Chicago             	IL	60618	CG	E
61	1363130	4561143213631304	0	500	134198	40	10/3/1995	141511	155.03	155.03	0.00	155.03	Wing-and-Prayer Air 	Louisville          	KY	40216	CG	E
17	1362535	4561143213625354	8	?	10402	57	4/4/1995	110334	0.00	0.00	0.00	0.00	?	?	?	?	IQ	B
61	1363160	4561143213631604	0	?	138427	0	11/1/1995	?	774.71	774.71	0.00	0.00	?	?	?	?	PM	M
17	1362546	4561143213625464	0	1100	12143	26	2/12/1995	130300	160.60	160.60	0.00	1776.32	Brad's Bricks       	New York City       	NY	10188	CG	E
61	1363164	4561143213631644	0	100	139264	22	9/17/1995	230434	196.92	196.92	0.00	994.22	Sushi To Go         	New York City       	NY	10278	CG	E
17	1362548	4561143213625484	0	100	12789	25	9/5/1995	120414	40.34	40.34	0.00	198.68	Olive Oil Restaurant	New York City       	NY	10221	CG	E
61	1363166	4561143213631654	0	?	140225	0	11/5/1995	?	53.33	52.69	0.64	232.71	?	?	?	?	PM	M
17	1362552	4561143213625524	0	500	13256	38	3/16/1995	122633	33.98	33.98	0.00	750.50	Icarus Airlines     	Riverside           	CA	92518	CG	E
61	1363175	4561143213631754	0	400	143022	33	10/6/1995	152305	188.56	188.56	0.00	188.56	Filbert's Filling St	Anaheim             	CA	92804	CG	E
17	1362556	4561143213625564	0	1200	14245	31	3/16/1995	210247	67.61	67.61	0.00	2329.53	Sherry's Shoes      	Detroit             	MI	48209	CG	E
61	1363196	4561143213631964	0	1100	146861	18	7/16/1995	165449	91.88	91.88	0.00	467.31	Linda's Lighting    	Los Angeles         	CA	90135	CG	E
17	1362562	4561143213625624	0	1200	14822	17	11/24/1995	232656	242.28	242.28	0.00	7429.21	Sherry's Shoes      	Los Angeles         	CA	90049	CG	E
61	1363208	4561143213632074	0	100	149408	36	10/15/1995	110722	170.71	170.71	0.00	887.90	Flying Burrito Res. 	Chicago             	IL	60655	CG	E
17	1362563	4561143213625634	0	900	15374	34	10/7/1995	210249	37.74	37.74	0.00	976.12	Network Works       	Chicago             	IL	60633	CG	E
61	1363217	4561143213632174	0	1200	154188	40	10/5/1995	134743	214.52	214.52	0.00	1316.46	Suitable Suits      	San Diego           	CA	92125	CG	E
17	1362565	4561143213625654	0	200	15809	20	4/20/1995	071935	120.15	120.15	0.00	580.49	Carrie's Cards      	Long Beach          	CA	90758	CG	E
61	1363218	4561143213632184	0	400	154570	28	9/8/1995	122626	145.62	145.62	0.00	1072.74	Filbert's Filling St	San Diego           	CA	92162	CG	E
17	1362567	4561143213625664	0	?	16353	0	4/2/1995	?	3025.64	2968.98	56.66	3431.02	?	?	?	?	PM	M
61	1363219	4561143213632194	0	800	155638	17	12/5/1995	142914	198.01	198.01	0.00	941.07	Manic Motor Inn     	New York City       	NY	10249	CG	E
17	1362569	4561143213625694	0	900	17130	40	12/20/1995	193231	605.09	605.09	0.00	6497.08	PCs-R-Us            	Albuquerque         	NM	87169	CG	E
61	1363236	4561143213632364	0	1200	159302	21	7/23/1995	181100	244.65	244.65	0.00	1213.05	Sherry's Shoes      	Los Angeles         	CA	90134	CG	E
17	1362571	4561143213625714	0	100	17541	44	10/30/1995	202955	93.60	93.60	0.00	823.38	Sushi To Go         	Albuquerque         	NM	87164	CG	E
61	1363241	4561143213632414	0	100	160468	37	11/23/1995	050401	311.64	311.64	0.00	881.66	Haveacow Steakhouse 	San Antonio         	TX	78286	CG	E
17	1362572	4561143213625724	0	200	17731	26	7/4/1995	134431	40.95	40.95	0.00	90.56	Randy's Records     	Albuquerque         	NM	87150	CG	E
61	1363247	4561143213632474	0	?	162246	0	12/2/1995	?	227.44	194.95	32.49	2805.05	?	?	?	?	PM	M
17	1362574	4561143213625744	0	1000	18524	38	7/16/1995	131508	48.33	48.33	0.00	1023.87	Wally World         	New York City       	NY	10180	CG	E
61	1363257	4561143213632574	0	?	166551	0	11/3/1995	?	183.29	160.34	22.95	2260.57	?	?	?	?	PM	M
17	1362577	4561143213625774	0	200	18796	33	10/11/1995	150033	1191.47	1191.47	0.00	2590.88	Llama World         	New York City       	NY	10038	CG	E
61	1363263	4561143213632634	0	100	167712	23	11/22/1995	073421	153.93	153.93	0.00	379.99	The Big Squid       	New York City       	NY	10113	CG	E
17	1362578	4561143213625784	0	?	18966	0	5/4/1995	?	245.97	244.75	1.22	59.14	?	?	?	?	PM	M
61	1363264	4561143213632644	0	400	167802	40	8/11/1995	154045	50.38	50.38	0.00	487.91	Filbert's Filling St	Jersey City         	NJ	07308	CG	E
17	1362580	4561143213625804	0	400	19858	26	6/12/1995	182620	116.97	116.97	0.00	1364.90	Ollie's Oil Co.     	Sacramento          	CA	94275	CG	E
61	1363280	4561143213632804	0	1100	173420	17	12/5/1995	122107	211.93	211.93	0.00	248.14	Brad's Bricks       	Memphis             	TN	38139	CG	E
17	1362584	4561143213625844	0	200	20231	18	11/7/1995	081914	80.26	80.26	0.00	140.69	Carrie's Cards      	Chicago             	IL	60649	CG	E
61	1363296	4561143213632964	0	?	176175	40	8/2/1995	234015	701.73	698.56	3.17	269.67	?	?	?	?	PM	E
17	1362586	4561143213625864	1	?	21244	36	5/2/1995	032911	205.35	181.60	23.75	2532.59	?	?	?	?	PM	C
61	1363303	4561143213633034	0	900	179614	18	12/28/1995	090516	73.24	73.24	0.00	1000.00	Mainframe Mania     	Los Angeles         	CA	90141	CG	E
17	1362587	4561143213625874	0	700	21791	29	3/5/1995	152851	192.63	192.63	0.00	519.29	Soupy's Supermarket 	Arlington           	TX	76017	CG	E
61	1363307	4561143213633074	0	900	181699	27	9/6/1995	094041	24.48	24.48	0.00	260.52	PCs-R-Us            	Chicago             	IL	60620	CG	E
17	1362589	4561143213625884	0	100	22676	35	5/13/1995	000337	191.58	191.58	0.00	316.39	Haveacow Steakhouse 	Seattle             	WA	98180	CG	E
61	1363312	4561143213633124	0	500	182562	23	12/26/1995	100813	41.88	41.88	0.00	3931.15	Icarus Airlines     	Los Angeles         	CA	90097	CG	E
17	1362591	4561143213625914	0	700	23438	33	3/1/1995	210305	73.31	73.31	0.00	992.86	Mary's Market       	Cleveland           	OH	44194	CG	E
61	1363314	4561143213633144	0	1000	182809	29	12/8/1995	161951	82.67	82.67	0.00	215.02	Tim's Trout Fishing 	Houston             	TX	77279	CG	E
17	1362592	4561143213625924	0	?	24117	0	7/1/1995	?	332.21	290.10	42.11	3009.90	?	?	?	?	PM	M
61	1363342	4561143213633424	0	300	188109	15	9/30/1995	144046	348.60	348.60	0.00	1183.44	Acme Car Rental     	Houston             	TX	77221	CG	E
17	1362593	4561143213625934	0	200	24532	34	7/23/1995	001902	38.64	38.64	0.00	1052.96	Carrie's Cards      	New York City       	NY	10236	CG	E
61	1363348	4561143213633484	0	800	190100	43	12/8/1995	205729	130.77	130.77	0.00	1560.43	Landfill Lodge      	Boston              	MA	02194	CG	E
17	1362595	4561143213625944	0	1100	25100	20	2/20/1995	081643	347.55	347.55	0.00	12113.78	Linda's Lighting    	Houston             	TX	77293	CG	E
61	1363352	4561143213633524	0	100	190878	41	12/29/1995	200721	212.75	212.75	0.00	906.54	Fifi's Cabaret      	Houston             	TX	77088	CG	E
17	1362602	4561143213626024	0	900	26643	35	4/5/1995	192406	146.28	146.28	0.00	146.28	Mainframe Mania     	Los Angeles         	CA	90144	CG	E
61	1363353	4561143213633534	0	1100	191271	37	10/28/1995	222729	471.17	471.17	0.00	3046.32	Harry's Hardware    	Chicago             	IL	60621	CG	E
17	1362605	4561143213626054	0	300	27421	19	7/15/1995	215304	200.51	200.51	0.00	345.29	Loan-a-Lemon        	Nashville           	TN	37222	CG	E
61	1363364	4561143213633644	0	500	193363	17	6/17/1995	084451	25.54	25.54	0.00	580.33	Puddle Jump Airline 	Birmingham          	AL	35233	CG	E
17	1362606	4561143213626064	0	1100	27550	19	7/19/1995	181428	325.96	325.96	0.00	1587.07	Linda's Lighting    	Phoenix             	AZ	85014	CG	E
61	1363377	4561143213633774	0	700	196082	18	12/9/1995	080613	54.64	54.64	0.00	64.38	Soupy's Supermarket 	San Diego           	CA	92176	CG	E
17	1362607	4561143213626074	0	800	27939	44	5/6/1995	131246	80.84	80.84	0.00	336.09	Landfill Lodge      	Seattle             	WA	98168	CG	E
61	1363383	4561143213633834	179	?	197113	29	10/2/1995	232417	0.00	0.00	0.00	0.00	?	?	?	?	IQ	K
17	1362609	4561143213626094	0	200	28780	30	3/19/1995	155124	39.17	39.17	0.00	2935.66	Dilbert's Dept Store	Honolulu            	HI	96812	CG	E
61	1363393	4561143213633934	0	900	199964	32	10/16/1995	145535	63.04	63.04	0.00	736.70	Surplus Servers     	New York City       	NY	10213	CG	E
17	1362611	4561143213626114	0	1100	29281	34	4/30/1995	083856	53.02	53.02	0.00	671.15	Linda's Lighting    	El Paso             	TX	79973	CG	E
61	1363454	4561143213634544	0	400	213001	28	10/2/1995	102315	44.45	44.45	0.00	956.03	Filbert's Filling St	New York City       	NY	10134	CG	E
17	1362613	4561143213626134	0	1300	29374	28	6/12/1995	014116	79.11	79.11	0.00	990.67	Terry's Trucks      	Fort Worth          	TX	76118	CG	E
61	1363461	4561143213634614	0	700	214182	16	10/14/1995	090349	202.03	202.03	0.00	1325.34	Ferd's Food Store   	St Paul             	MN	55127	CG	E
17	1362622	4561143213626224	0	200	31081	32	2/23/1995	150801	103.28	103.28	0.00	1694.95	Dilbert's Dept Store	Riverside           	CA	92508	CG	E
61	1363467	4561143213634674	0	1100	215303	44	10/19/1995	110725	292.10	292.10	0.00	920.48	Linda's Lighting    	New York City       	NY	10022	CG	E
17	1362626	4561143213626254	0	?	31642	0	5/2/1995	?	414.50	409.00	5.50	525.72	?	?	?	?	PM	M
61	1363483	4561143213634834	0	?	219382	0	11/1/1995	?	952.47	949.77	2.70	50.23	?	?	?	?	PM	M
17	1362630	4561143213626304	0	400	31822	26	1/22/1995	124302	49.66	49.66	0.00	2428.93	Ollie's Oil Co.     	Los Angeles         	CA	90025	CG	E
40	1362484	4561143213624844	0	?	817	0	10/6/1995	?	233.48	233.48	0.00	0.00	?	?	?	?	PM	M
17	1362633	4561143213626334	0	1000	33289	38	3/14/1995	125212	15.95	15.95	0.00	821.55	Gilligan's Island   	New York City       	NY	10108	CG	E
40	1362485	4561143213624854	0	200	1265	41	9/4/1995	092850	219.19	219.19	0.00	286.15	Buy The Book        	New York City       	NY	10107	CG	E
17	1362636	4561143213626364	0	?	33962	0	4/7/1995	?	426.73	422.95	3.78	98.85	?	?	?	?	PM	M
40	1362510	4561143213625094	0	500	4582	34	3/15/1995	000335	51.01	51.01	0.00	754.16	Prop-Jet Airways    	Indianapolis        	IN	46233	CG	E
17	1362637	4561143213626374	0	200	34155	41	9/17/1995	155736	53.11	53.11	0.00	1200.00	Tollie's Toys       	Honolulu            	HI	96847	CG	E
40	1362511	4561143213625114	0	1300	5729	30	12/4/1995	110344	59.36	59.36	0.00	181.13	Carl's Car Showroom 	New York City       	NY	10035	CG	E
17	1362640	4561143213626404	0	100	34684	27	3/25/1995	122604	36.83	36.83	0.00	1298.53	Sushi To Go         	Tucson              	AZ	85735	CG	E
40	1362516	4561143213625164	0	1200	6420	26	12/19/1995	193536	99.40	99.40	0.00	430.72	Cassandras Casuals  	Tulsa               	OK	74194	CG	E
17	1362641	4561143213626414	0	900	34761	40	8/22/1995	141047	13.54	13.54	0.00	176.32	Network Works       	Corpus Christi      	TX	78439	CG	E
40	1362520	4561143213625204	0	?	6698	0	10/4/1995	?	347.86	325.45	22.41	2594.55	?	?	?	?	PM	M
17	1362642	4561143213626424	0	100	34897	32	4/11/1995	103908	106.33	106.33	0.00	756.41	Flying Burrito Res. 	Rochester           	NY	14620	CG	E
40	1362525	4561143213625254	0	400	7381	30	4/23/1995	220427	249.17	249.17	0.00	1754.42	Gus' Gas Station    	Chicago             	IL	60602	CG	E
17	1362643	4561143213626434	0	1100	35503	34	3/19/1995	003138	69.61	69.61	0.00	321.61	Paul's Plumbing     	Rochester           	NY	14620	CG	E
40	1362530	4561143213625304	0	800	9336	28	10/5/1995	195252	331.21	331.21	0.00	928.75	Manic Motor Inn     	New York City       	NY	10007	CG	E
17	1362644	4561143213626444	0	300	35597	20	11/16/1995	185556	30.40	30.40	0.00	173.49	Rent-a-Wreck        	Rochester           	NY	14679	CG	E
40	1362535	4561143213625354	8	?	10396	74	7/5/1995	025406	0.00	0.00	0.00	0.00	?	?	?	?	IQ	B
17	1362645	4561143213626454	0	1200	35672	22	4/26/1995	042218	60.23	60.23	0.00	2270.44	April-May Dept Store	Chicago             	IL	60617	CG	E
40	1362546	4561143213625464	0	800	12133	19	6/6/1995	191936	80.29	80.29	0.00	420.96	Landfill Lodge      	New York City       	NY	10129	CG	E
17	1362649	4561143213626494	0	400	36230	16	3/14/1995	085914	33.02	33.02	0.00	340.16	Gus' Gas Station    	San Francisco       	CA	94114	CG	E
40	1362549	4561143213625494	0	1300	12989	28	7/21/1995	084553	21.77	21.77	0.00	739.06	Carl's Car Showroom 	Fort Worth          	TX	76194	CG	E
17	1362650	4561143213626504	29	?	37439	139	12/23/1995	185118	0.00	0.00	0.00	1000.00	?	?	?	?	IQ	B
40	1362552	4561143213625524	0	1200	13251	29	8/7/1995	123914	94.15	94.15	0.00	213.68	Sherry's Shoes      	Riverside           	CA	92509	CG	E
17	1362653	4561143213626534	157	?	38007	21	11/17/1995	082211	0.00	0.00	0.00	584.90	?	?	?	?	IQ	K
40	1362556	4561143213625564	0	1200	14268	26	7/5/1995	021519	373.79	373.79	0.00	2800.00	Suitable Suits      	Dallas              	TX	75334	CG	E
17	1362656	4561143213626564	0	?	38554	0	5/4/1995	?	133.28	129.15	4.13	702.31	?	?	?	?	PM	M
40	1362565	4561143213625654	0	?	15844	0	10/7/1995	?	152.85	149.61	3.24	284.90	?	?	?	?	PM	M
17	1362661	4561143213626614	0	?	38984	0	5/5/1995	?	430.15	425.38	4.77	280.03	?	?	?	?	PM	M
40	1362567	4561143213625664	0	?	16358	0	9/2/1995	?	1568.13	1489.61	78.52	4910.39	?	?	?	?	PM	M
17	1362663	4561143213626634	0	900	39336	24	4/10/1995	132028	46.88	46.88	0.00	2995.84	Surplus Servers     	Houston             	TX	77024	CG	E
40	1362574	4561143213625744	0	1300	18540	18	9/19/1995	081508	33.77	33.77	0.00	1082.21	Terry's Trucks      	New York City       	NY	10285	CG	E
17	1362664	4561143213626644	0	200	39521	35	9/5/1995	152736	254.09	254.09	0.00	2372.30	Larry's Luggage     	Long Beach          	CA	90768	CG	E
40	1362578	4561143213625784	0	?	18972	0	11/7/1995	?	166.20	166.01	0.19	217.71	?	?	?	?	PM	M
17	1362671	4561143213626714	1	?	40419	35	11/22/1995	093909	0.00	0.00	0.00	1100.00	?	?	?	?	IQ	V
40	1362586	4561143213625864	0	1300	21197	32	9/21/1995	101148	131.30	131.30	0.00	3700.00	Arnie's Auto Parts  	Norfolk             	VA	23580	CG	E
17	1362675	4561143213626754	0	100	41076	35	9/3/1995	090339	12.00	12.00	0.00	612.35	Carol's Café        	Minneapolis         	MN	55487	CG	E
40	1362587	4561143213625874	0	800	21741	24	7/11/1995	191236	50.86	50.86	0.00	528.38	Landfill Lodge      	Oklahoma City       	OK	73143	CG	E
